     日期     	　　　　　　　　　　　　　　　　　　　　　　　　标题　　　　　　　　　　　　　　　　　　　　　　　　	链接                                                
 2020-07-06 	　　　　　　　　　　　　　　　　　　北京昨日新增1例，在丰台区　　　　　　　　　　　　　　　　　　　	https://mp.weixin.qq.com/s/kvn9Xl8hWvtWMjIVvbAPbQ 
 2020-07-06 	　　　　　　　　　北京7月5日新增报告1例新冠肺炎确诊病例新增病例连续8天个位数　　　　　　　　　　	http://m.news.cctv.com/2020/07/06/ARTIciwLJBYOQcXtcWdx0ncO200706.shtml
 2020-07-06 	　　　　　　　　　　　　　　　　北京，1例！继续加油，期待“0”！　　　　　　　　　　　　　　　　　	https://ie.bjd.com.cn/5b165687a010550e5ddc0e6a/contentApp/5b16573ae4b02a9fe2d558f9/AP5f02702de4b086b26e00c120?isshare=1&app=2D0394EE-AE53-4ED7-AE27-A90AA8346CB1&contentType=0&isBjh=0
 2020-07-06 	　　　　　　　　　　　　　　　　　　北京新增1例确诊，在这个区　　　　　　　　　　　　　　　　　　　	https://mp.weixin.qq.com/s/VW0nVayGmtwaeLnnYa5fhQ 
 2020-07-06 	　　　　　　　　　　　　　　　北京新增报告1例新冠肺炎确诊病例在丰台区　　　　　　　　　　　　　　　	https://wap.peopleapp.com/article/5686539/5609515 
 2020-07-06 	　　　　　　　　　　　　　　　北京新增本地确诊病例1例无症状感染者1例　　　　　　　　　　　　　　　	http://dw.chinanews.com/chinanews/content.jsp?id=9230248&classify=zw&pageSize=6&language=chs
 2020-07-05 	　　　　　　　　　　　　　　　　　　北京昨日新增确诊病例2例！　　　　　　　　　　　　　　　　　　　	https://mp.weixin.qq.com/s/17RL-ZlplA__cTFeL8N1Dw 
 2020-07-05 	　　　　　　　　　　　　　　　　北京昨日新增2例确诊病例，均在丰台区　　　　　　　　　　　　　　　　	https://wap.peopleapp.com/article/5683904/5606927 
 2020-07-05 	　　　　　　　　　　　　　北京7月4日新增2例新冠肺炎确诊病例均在丰台区　　　　　　　　　　　　　　	http://dw.chinanews.com/chinanews/content.jsp?id=9229719&classify=zw&pageSize=6&language=chs
 2020-07-05 	　　　　　　　　　　　　　　　　　　北京连续一周新增确诊个位数　　　　　　　　　　　　　　　　　　　	https://wap.peopleapp.com/article/5683950/5606966 
 2020-07-05 	　　　　　　　　　　　　　北京昨日新增报告2例新冠肺炎确诊病例治愈出院1例　　　　　　　　　　　　　	https://proapi.jingjiribao.cn/detail.html?id=273232&user_id=e6b7d9ee1ae649f0b10111c2cbd8f2f8&source=wechat_friend
 2020-07-05 	　　　　　　　　　　　　　　　　　　北京新增2例确诊，都在这个区　　　　　　　　　　　　　　　　　　	https://mp.weixin.qq.com/s/K9FBXw8eIjwq6xaA_j4eOA 
 2020-07-05 	　　　　　　　　　　　　　北京昨日新增报告2例新冠肺炎确诊病例治愈出院1例　　　　　　　　　　　　　	https://app.bjtitle.com/8816/newshow.php?newsid=5673879&src=stream&typeid=68&uid=270891&did=353615204688244&platform=android&show=0&fSize=M&ver=2.7.1&mood=wx
 2020-07-05 	　　　　　　　　　　　　　　北京4日新增2例新冠肺炎确诊病例均在丰台区　　　　　　　　　　　　　　　	http://m.news.cctv.com/2020/07/05/ARTIKQfTXVzhnGYXT6KL9V5d200705.shtml
 2020-07-05 	　　　　　　　　　　　　北京昨日新增2例均在丰台，已连续7日新增确诊为个位数　　　　　　　　　　　　	https://ie.bjd.com.cn/5b165687a010550e5ddc0e6a/contentApp/5b16573ae4b02a9fe2d558f9/AP5f011ea5e4b086b26e0024e6?isshare=1&app=2D0394EE-AE53-4ED7-AE27-A90AA8346CB1&contentType=0&isBjh=0
 2020-07-04 	　　　　　　　　　　　　　　　　北京昨日新增确诊病例1例，在丰台区　　　　　　　　　　　　　　　　　	https://wap.peopleapp.com/article/5681392/5604465 
 2020-07-04 	　　　　　　　　　　　　　　　　　　　北京1例，连续6天个位　　　　　　　　　　　　　　　　　　　　	https://mp.weixin.qq.com/s/IGIERVLHiG97iqbV2Z8jSw 
